,títulos,url,precios
36,Tierra Sin Mal - Florencia Bonelli ( Trilogía Del Perdón 3 ),https://www.librenta.com/MLA-875521524-tierra-sin-mal-florencia-bonelli-trilogia-del-perdon-3--_JM#position=36&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,3.350
37,Libro The Great Gatsby - F. Scott Fitzgerald,https://www.librenta.com/MLA-924940225-libro-the-great-gatsby-f-scott-fitzgerald-_JM#position=37&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,6.899
38,La Comunidad Del Anillo - El Señor De Los Anillos 1,https://www.librenta.com/MLA-779349769-la-comunidad-del-anillo-el-senor-de-los-anillos-1-_JM#position=38&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,3.495
39,Libro A Court Of Thorns And Roses 1 - Sarah J. Maas,https://www.librenta.com/MLA-929819916-libro-a-court-of-thorns-and-roses-1-sarah-j-maas-_JM#position=39&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.600
40,A Court Of Thorns And Roses 2: Mist & Fury - Sarah J. Maas,https://www.librenta.com/MLA-929820525-a-court-of-thorns-and-roses-2-mist-fury-sarah-j-maas-_JM#position=40&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,2.814
41,Pack Alejandro Sequera - Mi Viaje Sin Ti + Meteoro,https://www.librenta.com/MLA-924728531-pack-alejandro-sequera-mi-viaje-sin-ti-meteoro-_JM#position=41&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,2.814
42,Libro El Silmarillion ( Bolsillo ) - J. R. R. Tolkien,https://www.librenta.com/MLA-869181045-libro-el-silmarillion-bolsillo-j-r-r-tolkien-_JM#position=42&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,6.398
43,"Cien Años De Soledad - Garcia Marquez, Gabriel",https://www.librenta.com/MLA-790678368-cien-anos-de-soledad-garcia-marquez-gabriel-_JM#position=43&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.600
44,Pack Camila Sosa Villada - Las Malas + La Novia De Sandro ,https://www.librenta.com/MLA-875202550-pack-camila-sosa-villada-las-malas-la-novia-de-sandro-_JM#position=44&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,3.849
45,Libro La Buena Suerte - Montero Rosa,https://www.librenta.com/MLA-874319485-libro-la-buena-suerte-montero-rosa-_JM#position=45&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,6.100
46,Libro La Vida Mentirosa De Los Adultos - Ferrante Elena,https://www.librenta.com/MLA-874320955-libro-la-vida-mentirosa-de-los-adultos-ferrante-elena-_JM#position=46&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.449
47,Dime ¿quién Es Como Dios? Historia De La Diana 2 - Bonelli,https://www.librenta.com/MLA-780452986-dime-quien-es-como-dios-historia-de-la-diana-2-bonelli-_JM#position=47&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.449
48,Libro Confess - Colleen Hoover,https://www.librenta.com/MLA-926804913-libro-confess-colleen-hoover-_JM#position=48&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,6.899
49,Los Colores De La Felicidad - Viviana Rivero,https://www.librenta.com/MLA-737133357-los-colores-de-la-felicidad-viviana-rivero-_JM#position=49&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,4.383
50,Libro El Castillo En El Aire - Diana Wynne Jones,https://www.librenta.com/MLA-933850760-libro-el-castillo-en-el-aire-diana-wynne-jones-_JM#position=50&search_layout=stack&type=item&tracking_id=740184d2-20cf-4301-9d99-f0f3ebb9dbf2,5.100
